Concurency,GER,POL,FRA,GBR,ESP,UKR,ITA,CZE,GRE,BLR,NED
Hammer Throw Women Final,8,2,4,5,6,3,9,7,10,1,11
Pole Vault Women Final,11,3,2,5,8,3,10,5,5,1,9
Shot Put Men Final,8,4,2,7,8,6,10,3,5,1,10
400m Hurdles Men Final,9,1,1,5,6,7,10,3,8,3,11
100m Women Final,6,5,1,3,7,9,9,3,8,2,11
400m Men Final,6,3,1,2,6,10,8,5,9,4,11
800m Women Final,6,2,1,3,4,9,8,6,10,4,11
100m Men Final,4,3,2,1,5,10,7,6,9,7,11
Long Jump Men Final,6,3,2,1,3,10,7,5,9,8,11
3000m Women Final,5,2,6,1,3,10,7,4,9,8,11
Discus Throw Women Final,3,1,3,2,6,9,7,5,8,10,11
400m Hurdles Women Final,5,2,4,1,6,8,7,3,9,10,11
1500m Men Final,3,2,3,1,6,8,7,3,9,10,11
High Jump Men Final,4,1,3,2,7,8,6,5,9,10,11
3000m Steeplechase Women Final,2,3,4,1,7,8,6,5,9,10,11
400m Women Final,1,3,4,2,7,8,5,6,9,11,10
5000m Men Final,2,3,4,1,6,8,5,7,9,10,11
Triple Jump Women Final,1,3,4,2,6,8,5,6,9,10,11
Javelin Throw Men Final,1,2,4,3,7,8,6,5,9,10,11
4 x 100m Relay Women Final,1,2,4,3,8,7,4,6,9,10,11
4 x 100m Relay Men Final,1,2,4,3,8,7,5,6,9,10,11
Hammer Throw Men Final,1,2,4,3,8,6,5,7,9,10,11
Shot Put Women Final,1,2,4,3,8,6,5,7,9,10,11
High Jump Women Final,1,2,5,3,8,6,4,7,9,10,11
110m Hurdles Men Final,1,2,4,3,7,6,5,7,9,10,11
100m Hurdles Women Final,1,2,4,3,7,6,5,8,8,10,11
800m Men Final,1,2,4,3,7,6,5,8,9,10,11
Long Jump Women Final,1,2,4,3,7,6,5,8,9,10,11
1500m Women Final,1,2,4,3,7,6,5,8,10,9,11
3000m Steeplechase Men Final,1,2,4,3,7,6,5,8,10,9,11
Discus Throw Men Final,1,2,4,3,7,6,5,8,10,9,11
Pole Vault Men Final,1,2,3,4,6,7,5,8,10,9,11
200m Women Final,1,2,4,3,6,7,5,8,9,10,11
200m Men Final,1,2,3,4,6,5,7,8,9,10,11
5000m Women Final,1,2,3,4,6,5,7,8,9,10,11
Triple Jump Men Final,1,2,3,4,5,6,7,8,8,10,11
3000m Men Final,1,2,4,3,5,6,7,8,9,10,11
Javelin Throw Women Final,1,2,4,3,5,6,7,8,9,10,11
4 x 400m Relay Women Final,1,2,4,3,6,5,7,8,9,10,11
4 x 400m Relay Men Final,1,2,3,4,5,6,7,8,9,10,11
